id,job_title,company_name,salary_range,location,openings,requirements,search_keyword,data_year,created_at
1,Android安卓开发工程师,纬创软件（武汉）有限公司,1.1-1.8万/月,武汉-汉阳区,1,"[', '1.能够承担androidapp的开发工作；', '2.对已有代码进行维护，保证其容错性、及时修正已知错误；', '3.对开发的app进行自测试并提供自测报告，保证其稳定性；', '4.负责App的需求评估和研发工作；', '5.负责行业***预研工作。', '岗位要求:', '1.专科及以上学历，3年及以上Android工作经验；', '2.熟练掌握编程基础；', '3.了解网络通讯、熟练调试API接口；', '4.具备H5移动开发能力，有较强的的目标意识。', '薪资福利：', '1.入职即享受六险一金；', '2.带薪年假，每年5月和10月，2次调薪机会；', '3.不定期组织集体活动团建；', '4.年终奖，节日福利礼品；', '5.完善的内部培训体系，技术氛围浓厚。', '职能类别：', 'Android开发工程师', '关键字：', 'android', '安卓', '安卓开发', 'android开发', '开发]3-4年经验, 大专",计算机软件,2022,"2025-05-01 15:37:15"
2,硬件测试工程师,武汉虹信技术服务有限责任公司,0.9-1.5万/月,武汉-江夏区,1,"[', '1、 负责硬件调试、试产和量产跟进，以及中间所有环节的硬件问题解决。', '2、 负责完成各类硬件产品的功能测试、性能分析。', '3、 现场施工指导和硬件故障排查。', '4、 产品结构设计分析和可靠性测试。', '任职资格：', '1、 本科***及以上学历，以通信、电子、自动化等理工科专业为主。', '2、 3年以上硬件开发或测试工作经验。', '3、 熟悉各电子元器件及常见芯片功能，懂电路原理及各种常见硬件接口功能。', '4、 动手能力强，能熟练使用各种硬件安装、接线工具和各类常见测试仪器、仪表。', '5、 有硬件可靠性测试经验者优先。', '6、 熟悉各类第三方硬件认证测试、验收流程者优先。', '职能类别：', '硬件工程师]2年经验, 本科",通信/电信/网络设备,2022,"2025-05-01 15:37:15"
3,高级C++开发工程师(J13251),朗新科技集团股份有限公司,1.5-2万/月,武汉-洪山区,1,"[', '工作职责:', '1、根据业务需求实现产品音视频模块的设计和开发，并解决视频编解码在应用中遇到的算法问题。（视频编解码方向）', '2、负责C++客户端和服务端软件程序的开发与维护，根据产品需求完成模块设计、测试工作、上线工作。（通信协议方向）', '任职资格:', '1、计算机、软件工程、电子、通信等相关专业，统招本科，2年以上相关工作经验，能够熟练使用C、C++进行编程；', '2、了解常见编码，有视频编解码经验，如h264、h265、MPEG4、aac、mp3等主流音视频的软硬编解码，熟悉视频开源项目，如 ffmpeg、webrtc等开源库有相关的使用经验；', '3、熟悉相关的通讯和网络传输协议，并能做相关编程开发，熟练掌握网络编程、多线程编程，具有一定的RTP/RTCP、RTSP或其他流传输协议知识经验，熟悉gb28181协议优先；', '（编解码方向或通信协议方向，擅长其中一个方向即可）', '职能类别：', 'C/C++开发工程师]3-4年经验, 本科",计算机软件,2022,"2025-05-01 15:37:15"
4,Java工程师（武汉）10000-18000/月薪,武汉天喻教育科技有限公司,1-1.8万/月,武汉-江夏区,1,"[', '岗位职责：', '1、从事公司相关Java软件研发主要模块及应用研发工作；', '2、进行软件详细设计，代码编写，单元测试，集成测试等；', '3、进行软件代码的维护和改进工作；', '4、完成部门领导安排的其它研发相关工作。', '任职要求：', '1、统招本科以上学历，计算机、通讯或相关专业；', '2、具有实际3-5年以上java开发经验；', '3、深刻理解面向对象编程，熟悉常用设计模式，有阅读源代码经历的优先；', '4、熟练使用springboot，springcloud\xa0等常用开源框架；', '5、熟练使用mysql，mongo，redis，ES等数据库及缓存技术，有一定的sql优化经验优先；', '6、有过较大并发用户系统开发经验优先。', '职能类别：', '高级软件工程师', '关键字：', 'java', '软件开发', '软件工程师', '开发', 'java开发', '开发工程师]3-4年经验, 本科",计算机软件,2022,"2025-05-01 15:37:15"
5,产品研发负责人,中国联合网络通信有限公司湖北省分公司,50-100万/年,武汉,1,"[', '岗位职责：', '1.勇于创新突破、推进创新成果转化应用，围绕招聘方向领域打造行业领先优势，形成区域“专精特性”基础研发能力。', '2.带领团队在关键领域取得应用原创性成果，实现技术和产品的自主可控。', '3.规划公司的产品发展路线与新产品开发，实现公司的产品创新目标，按时推进产品发展战略规划的执行情况。', '4.负责产品技术管理工作，带领团队完成公司制定的产品研发目标，确保产品在行业内具备较高的技术竞争优势。', '5.参与公司的整体发展战略规划，负责领域内的技术发展规划、为公司业务发展提供全面的技术保障。', '任职资格要求：', '1.学历要求：硕士研究生及以上；', '2.专业要求：通信、计算机、软件工程、电子工程、信息工程、工业自动化等相关专业优先；', '3.年龄要求：45周岁及以下，1977年1月1日以后出生；', '4.工作经验：8年及以上相关工作经验。\xa0', '招聘条件:\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0', '1.在领域内具备丰富的应用研发与实践能力，成功牵头组织和承担过大型平台级产品的规划设计与实施任务。', '2.精通大数据、人工智能等新技术，新领域相关知识，并具备主导将相关技术在行业场景应用落地的项目经验。', '3.对数据驱动制造过程有深刻理解；对人工智能算法有深刻理解。', '4.具有较为丰富的创新资源整合能力、市场开拓能力，能够带动技术创新。', '5.具有较强的研发管理能力，能够快速组建研发团队，开展产品规划、设计、开发和交付，并具备带领30人以上技术研发团队的管理经验。', '6.有较强的大局观念，能从公司层面整体策划考虑企业新产品研发规划。', '职能类别：', '产品经理/主管]8-9年经验, 硕士",通信/电信/网络设备,2022,"2025-05-01 15:37:15"
6,小程序开发实习生,武汉瑞鑫智联科技有限公司,3-4.5千/月,武汉-江夏区,1,"[', '职位关键词：', 'Java，MySQL数据库，JSP，Web前端。', '技能要求：', 'web前端和 java，数据库', '岗位要求：', '1、18-30周岁，大专及以上学历，专业不限；', '2、工作积极主动，能吃苦耐劳，有团队合作精神；', '3、有创新精神，喜欢尝试新鲜事物；', '4、具有明确的人生目标，敢于挑战高薪；', '福利待遇：', '1、五险一金：按照国家相关政策为员工缴纳社会保险，包括养老保险，医疗保险，失业保险，工伤保险，生育保险，以及公积金；', '2、节日福利：春节，端午节，中秋节等节日期间发放节日津贴或实物；', '3、定期体检：公司每年至少安排一次员工体检；', '4、带薪年假：工作满一年，可享受国家规定的带薪年假；', '5、其他活动：公司不定期组织各种文体活动，如外出旅游，联欢会等；', '工作时间：朝九晚六（双休，法定假期带薪休息）', '职能类别：', '大客户销售', '关键字：', '开发', '软件开发', 'android', '前端', 'app', '通信', '计算机]无需经验, 大专",计算机软件,2022,"2025-05-01 15:37:15"
7,超迅服务器渠道销售,武汉超迅科技有限公司,6-9千/月,武汉,1,"[', '1、销售人员职位，对公司已成交老客户，做好维系工作；', '2、针对湖北和华中区域经销商渠道市场，做好服务器产品新客户开发工作；', '3、扩大公司代理的超微、英伟达产品和超迅服务器产品市场占有率，完成销售目标；', '4、省内出差每天补助220元，省外350。', '任职资格：', '1、大专以上学历;', '2、对计算机硬件产品比较了解;', '3、半年以上专业销售工作经历;', '4、能吃苦、悟性高、热爱体育运动;', '5、计算机专业的应届毕业生，愿意做销售，也欢迎加入公司，我们可以培养；', '待遇：5000以上底薪\xa0+\xa0超出毛利润部分25%提成\xa0+\xa0通讯车补\xa0+表现优异奖金+\xa0双休 + 社保。', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0试用期无责任底薪3500，做了业绩就有提成。', '职能类别：', '渠道/分销专员', '渠道/分销主管', '关键字：', '服务器', '渠道', '双休', '计算机硬件]1年经验, 大专",计算机硬件,2022,"2025-05-01 15:37:15"
8,"Software Development Engineer",深圳市汇顶科技股份有限公司,1.8-3万/月,成都,1,"[', '工作职责:', '1. 负责私有云平台的架构设计与优化，私有云与混合云产品的总体架构与产品设计；', '2. 负责持续优化、改进系统的设计和编码实现，提升系统的整体性能与稳定性；', '3. 负责平台建设，保证平台可维护，可审计，保障平台安全运行。', '任职资格:', '1. 计算机软件或相关专业，本科或以上学历；', '2. 5年以上Java J2EE项目开发经验；', '3. 有大规模运维系统设计经验，有微服务设计的经验，有高并发和高性能服务设计和开发的经验；', '4. 熟练掌握Spring或Vert.x生态系统，熟悉阿里云或AWS云服务；', '5. 熟练使用Idea/maven/svn(git)等软件开发工具；', '6. 熟练掌握 Java/python/C++ 语言；', '7. 熟练掌握Git工作流；熟悉CI/CD者优先；', '8. 熟悉Docker，Elasticsearch，PostgreSQL/MySQL者优先；', '9. 英语四级以上，具备良好的英文阅读、书写、口语能力；', '10. 沟通表达能力和执行能力强，能够协同多个团队共同完成目标；', '职能类别：', 'Java开发工程师', '关键字：', 'Java', 'J2EE', '软件开发]5-7年经验, 本科",电子技术/半导体/集成电路,2022,"2025-05-01 15:37:15"
9,销售代表（无责底薪4K+高提成）,武汉华大中正科技有限责任公司,1-1.5万/月,武汉-洪山区,1,"[', '岗位职责', '1、负责公司产品的销售与推广业务，负责销售区域内销售活动的策划和执行', '2、根据经理下达的营销计划，开发客户资源，寻找潜在客户，完成销售目标；', '3、开拓新市场，开发新客户，增加产品销售范围；', '4、管理维护客户关系以及客户间的长期战略合作计划；', '5、搜集客户信息，对信息进行甄别、整理，提取有效项目信息；', '任职资格', '1、具备1年以上销售经验，沟通能力强，有很好的团队协作能力；', '2、具备吃苦耐劳的精神，善于学习，积极主动；', '3、扎实的计算机及网络知识，对市场营销工作有一定的理解；', '4、有过计算机网络网络设备销售经验者、有行业基础者优先考虑', '福利待遇', '底薪+提成+五险+年终奖+团队国外旅游+节假日福利', '欢迎有志之士加入！', '欢迎有志之士加入！', '职能类别：', '渠道/分销专员', '销售代表', '关键字：', '销售代表', '渠道销售', '客户代表]1年经验, 大专",通信/电信/网络设备,2022,"2025-05-01 15:37:15"
10,C++开发工程师,武汉风河信息科技有限公司,1-1.3万/月,武汉-洪山区,1,"[', '岗位职责：', '1、负责项目中模块的开发工作；', '2、与项目组成员配合进行联合调试；', '3、完成相关技术文档的编写。', '职位要求：', '1.熟悉C/C++，熟练使用至少一个版本的Visual\xa0Studio；', '2.三年以上VC、WIN32、MFC\xa0图形方面的工作经验 ；', '3.良好的编程技巧和编程习惯；\xa0 \xa0', '4.有独立解决问题的能力；具备良好的学习能力和沟通能力，有团队合作精神；\xa0\xa0', '5.熟悉python脚本语言优先\xa0 \xa0；', '6.使用过opencv相关视觉库优先 ；', '7.有铁路相关工作经验优先。', '职能类别：', '软件工程师]3-4年经验, 本科",计算机软件,2022,"2025-05-01 15:37:15"
